w1,a,[冠詞] 一個;一種
w1,A.M.,[副詞] 上午; [副詞] 上午
w1,ability,[名詞] 能力;專門技能
w1,able,[形容詞] 能;有能力的
w1,about,[副詞] 在四周;在附近;大約; [介系詞] 大約;關於
w1,above,"[形容詞] 上文的,前述的; [副詞] 在上面;在上文;更高; [介系詞] 在…之上"
w1,abroad,[副詞] 在國外
w1,absent,"[形容詞] 缺席的,不在場的"
w1,accept,[動詞] 接受
w1,accident,[名詞] 事故;災禍
w1,achieve,[動詞] 實現
w1,across,[副詞] 橫過;寬;在對面;向對面; [介系詞] 橫越;穿過
w1,act,"[動詞] 扮演; [名詞] 行動,法案"
w1,action,[名詞] 動作
w1,active,[形容詞] 活躍的
w1,activity,[名詞] 活動
w1,actor,[名詞] 男演員
w1,actress,[名詞] 女演員
w1,actually,[副詞] 實際上
w1,add,[動詞] 添加
w1,addition,[名詞] 加;附加
w1,address,[名詞] 地址; 演說
w1,admire,[動詞] 欽佩;欣賞
w1,admit,[動詞] 承認;准許進入;可容納
w1,adopt,[動詞] 採納;收養;接受
w1,adult,[名詞] 成年人
w1,advance,[動詞] 使發展;促進;提升;貸(款); [名詞] 前進;發展;預付
w1,advantage,"[名詞] 優點,優勢;利益"
w1,advice,[名詞] 忠告
w1,advise,[動詞] 勸告
w1,affair,[名詞] 事件;風流韻事;喜慶活動
w1,affect,[動詞] 影響；感染；打動
w1,afraid,[形容詞] 害怕
w1,after,[介系詞] 在…之後; [連接詞] 在...之後
w1,afternoon,[名詞] 下午;午後
w1,again,[副詞] 再一次
w1,against,[介系詞] 反對
w1,age,[動詞] 使變老;使(酒之)味道變醇;使成熟; [名詞] 年齡
w1,ago,[副詞] 以前
w1,agree,[動詞] 同意
w1,ahead,[副詞] 在前;向前;預先;事前
w1,aid,[動詞] 有助於; [名詞] 幫助;助手;助聽器
w1,aids,[名詞] 愛滋病
w1,aim,"[動詞] 瞄準,對準; [名詞] 目標,目的"
w1,air,[名詞] 空氣
w1,aircraft,[名詞] 航空器;飛機
